iter	RMSE
0	14.4516241
1	13.56878509
2	12.83965865
3	12.10865579
4	11.57140942
5	11.07431994
6	10.55497489
7	10.08936612
8	9.649965322
9	9.193257614
10	8.803897018
11	8.49228363
12	8.199594595
13	7.91619611
14	7.656192025
15	7.405540526
16	7.159264718
17	6.969544424
18	6.807317676
19	6.648837848
20	6.471387987
21	6.336702957
22	6.18801271
23	6.055463505
24	5.930037578
25	5.84168675
26	5.750631593
27	5.667896138
28	5.572243652
29	5.493515367
30	5.415384298
31	5.34852104
32	5.272930045
33	5.222873355
34	5.154971318
35	5.087431673
36	5.033432492
37	4.988650372
38	4.934502354
39	4.88293279
40	4.860965727
41	4.80701545
42	4.769308271
43	4.740939678
44	4.704940376
45	4.670457543
46	4.629468708
47	4.587732621
48	4.55417544
49	4.51089361
50	4.481759141
51	4.46076723
52	4.425820871
53	4.393362384
54	4.36371675
55	4.326982148
56	4.304035382
57	4.288058652
58	4.263341525
59	4.233366706
60	4.20297558
61	4.173664991
62	4.150820883
63	4.121843567
64	4.102318371
65	4.084699946
66	4.058303824
67	4.044876775
68	4.02770525
69	4.009291684
70	3.998063549
71	3.986638409
72	3.972307372
73	3.941056496
74	3.914771749
75	3.893227991
76	3.879974473
77	3.869080826
78	3.86306225
79	3.83976937
80	3.823761326
81	3.804311472
82	3.783662764
83	3.765814116
84	3.73623718
85	3.727578789
86	3.704175608
87	3.693041174
88	3.691769776
89	3.684276468
90	3.658639085
91	3.63798134
92	3.626499914
93	3.619835692
94	3.600285279
95	3.582515406
96	3.573552219
97	3.55373746
98	3.531131131
99	3.517211671
