iter	Passed	Remaining
0	1	183
1	3	165
2	5	164
3	6	158
4	8	153
5	9	155
6	11	157
7	13	152
8	14	149
9	16	145
10	17	143
11	19	142
12	20	139
13	24	152
14	26	147
15	27	143
16	29	142
17	30	139
18	31	136
19	33	133
20	34	130
21	35	127
22	37	124
23	38	121
24	39	118
25	40	115
26	41	112
27	42	109
28	43	106
29	44	103
30	45	101
31	46	98
32	47	95
33	48	93
34	49	92
35	50	89
36	51	87
37	51	84
38	52	82
39	53	80
40	54	77
41	54	75
42	55	73
43	56	71
44	56	69
45	57	67
46	58	65
47	58	63
48	59	61
49	60	60
50	60	58
51	61	56
52	62	55
53	62	53
54	63	52
55	64	50
56	65	49
57	66	47
58	66	46
59	67	45
60	68	43
61	69	42
62	70	41
63	70	39
64	71	38
65	72	37
66	72	35
67	73	34
68	74	33
69	74	32
70	75	30
71	76	29
72	76	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	86	20
81	87	19
82	88	18
83	89	16
84	89	15
85	90	14
86	91	13
87	92	12
88	93	11
89	93	10
90	94	9
91	95	8
92	95	7
93	96	6
94	97	5
95	98	4
96	98	3
97	99	2
98	100	1
99	100	0
